,theme,myaverage,communityaverage,mystd,communitystd
0,"Crime, drugs and gangsters",3.630434782608696,4.060869565217391,0.757048564917911,0.35419451568412447
1,Crude humor and satire,3.03125,3.5118750000000007,0.7409172243465076,0.49346690196337717
2,Epic heroes,3.26,3.6788,1.2000000000000002,0.6118504719292126
3,Epic history and literature,3.5,3.834375,1.110555416597179,0.7089613882292886
4,Faith and religion,3.53125,3.9006250000000002,0.9031195934094222,0.3061692070299253
5,High speed and special ops,3.3125,3.82625,0.7039429765866793,0.47243858255408655
6,"Horror, the undead and monster classics",3.3870056497175143,3.3700000000000006,0.723941676590223,0.4913328347927246
7,Humanity and the world around us,3.736842105263158,3.9089473684210523,1.0188285900515515,0.3258986675647321
8,Intense violence and sexual transgression,3.485611510791367,3.438201438848921,0.78237478982301,0.5337578724241232
9,"Monsters, aliens, sci-fi and the apocalypse",3.32,3.413333333333335,0.7911674575878019,0.4671487214238395
10,Moving relationship stories,4.0588235294117645,4.050588235294118,0.6344868236707243,0.24855760369166174
11,Politics and human rights,3.739130434782609,3.959130434782608,0.7365392851552963,0.4191215168060478
12,Relationship comedy,3.21875,3.8556250000000007,0.8557404201430867,0.346428804614551
13,Song and dance,2.7,3.564,0.5868938953886336,0.29125017882684084
14,Thrillers and murder mysteries,3.628205128205128,3.6238461538461535,0.8638800836460915,0.6359187939907163
15,Underdogs and coming of age,3.53125,3.786875,0.8459462157844313,0.32557065285433817
16,War and historical adventure,3.388888888888889,3.941111111111111,1.2444320435890066,0.4735621512653974
17,Westerns,3.0,3.725,1.4719601443879744,0.5980802621722271
